Label	Theta	Phi	Radius	X	Y	Z
NFp1	108.0	-11.25	1	-0.3031	0.9328	-0.1951
AFp9h	117.0	-11.25	1	-0.4453	0.8739	-0.1951
AF9h	126.0	-11.25	1	-0.5765	0.7935	-0.1951
AFF9h	135.0	-11.25	1	-0.6935	0.6935	-0.1951
F9h	144.0	-11.25	1	-0.7935	0.5765	-0.1951
FFT9h	153.0	-11.25	1	-0.8739	0.4453	-0.1951
FT9h	162.0	-11.25	1	-0.9328	0.3031	-0.1951
FTT9h	171.0	-11.25	1	-0.9687	0.1534	-0.1951
T9h	180.0	-11.25	1	-0.9808	0.0	-0.1951
TTP9h	-171.0	-11.25	1	-0.9687	-0.1534	-0.1951
TP9h	-162.0	-11.25	1	-0.9328	-0.3031	-0.1951
TPP9h	-153.0	-11.25	1	-0.8739	-0.4453	-0.1951
P9h	-144.0	-11.25	1	-0.7935	-0.5765	-0.1951
PPO9h	-135.0	-11.25	1	-0.6935	-0.6935	-0.1951
PO9h	-126.0	-11.25	1	-0.5765	-0.7935	-0.1951
POO9h	-117.0	-11.25	1	-0.4453	-0.8739	-0.1951
OI1	-108.0	-11.25	1	-0.3031	-0.9328	-0.1951
OI1h	-99.0	-11.25	1	-0.1534	-0.9687	-0.1951
Fp1h	99.0	0.0	1	-0.1564	0.9877	0.0
Fp1	108.0	0.0	1	-0.309	0.9511	0.0
AFp7	117.0	0.0	1	-0.454	0.891	0.0
AF7	126.0	0.0	1	-0.5878	0.809	0.0
AFF7	135.0	0.0	1	-0.7071	0.7071	0.0
F7	144.0	0.0	1	-0.809	0.5878	0.0
FFT7	153.0	0.0	1	-0.891	0.454	0.0
FT7	162.0	0.0	1	-0.9511	0.309	0.0
FTT7	171.0	0.0	1	-0.9877	0.1564	0.0
T7	180.0	0.0	1	-1.0	0.0	0.0
TTP7	-171.0	0.0	1	-0.9877	-0.1564	0.0
TP7	-162.0	0.0	1	-0.9511	-0.309	0.0
TPP7	-153.0	0.0	1	-0.891	-0.454	0.0
P7	-144.0	0.0	1	-0.809	-0.5878	0.0
PPO7	-135.0	0.0	1	-0.7071	-0.7071	0.0
PO7	-126.0	0.0	1	-0.5878	-0.809	0.0
POO7	-117.0	0.0	1	-0.454	-0.891	0.0
O1	-108.0	0.0	1	-0.309	-0.9511	0.0
O1h	-99.0	0.0	1	-0.1564	-0.9877	0.0
N2h	81.0	-22.5	1	0.1445	0.9125	-0.3827
N2	72.0	-22.5	1	0.2855	0.8787	-0.3827
AFp10	63.0	-22.5	1	0.4194	0.8232	-0.3827
AF10	54.0	-22.5	1	0.543	0.7474	-0.3827
AFF10	45.0	-22.5	1	0.6533	0.6533	-0.3827
F10	36.0	-22.5	1	0.7474	0.543	-0.3827
FFT10	27.0	-22.5	1	0.8232	0.4194	-0.3827
FT10	18.0	-22.5	1	0.8787	0.2855	-0.3827
FTT10	9.0	-22.5	1	0.9125	0.1445	-0.3827
T10	0.0	-22.5	1	0.9239	0.0	-0.3827
TTP10	-9.0	-22.5	1	0.9125	-0.1445	-0.3827
TP10	-18.0	-22.5	1	0.8787	-0.2855	-0.3827
TPP10	-27.0	-22.5	1	0.8232	-0.4194	-0.3827
P10	-36.0	-22.5	1	0.7474	-0.543	-0.3827
PPO10	-45.0	-22.5	1	0.6533	-0.6533	-0.3827
PO10	-54.0	-22.5	1	0.543	-0.7474	-0.3827
POO10	-63.0	-22.5	1	0.4194	-0.8232	-0.3827
I2	-72.0	-22.5	1	0.2855	-0.8787	-0.3827
I2h	-81.0	-22.5	1	0.1445	-0.9125	-0.3827
NFp2h	81.0	-11.25	1	0.1534	0.9687	-0.1951
NFp2	72.0	-11.25	1	0.3031	0.9328	-0.1951
AFp10h	63.0	-11.25	1	0.4453	0.8739	-0.1951
AF10h	54.0	-11.25	1	0.5765	0.7935	-0.1951
AFF10h	45.0	-11.25	1	0.6935	0.6935	-0.1951
F10h	36.0	-11.25	1	0.7935	0.5765	-0.1951
FFT10h	27.0	-11.25	1	0.8739	0.4453	-0.1951
FT10h	18.0	-11.25	1	0.9328	0.3031	-0.1951
FTT10h	9.0	-11.25	1	0.9687	0.1534	-0.1951
T10h	0.0	-11.25	1	0.9808	0.0	-0.1951
TTP10h	-9.0	-11.25	1	0.9687	-0.1534	-0.1951
TP10h	-18.0	-11.25	1	0.9328	-0.3031	-0.1951
TPP10h	-27.0	-11.25	1	0.8739	-0.4453	-0.1951
P10h	-36.0	-11.25	1	0.7935	-0.5765	-0.1951
PPO10h	-45.0	-11.25	1	0.6935	-0.6935	-0.1951
PO10h	-54.0	-11.25	1	0.5765	-0.7935	-0.1951
POO10h	-63.0	-11.25	1	0.4453	-0.8739	-0.1951
OI2	-72.0	-11.25	1	0.3031	-0.9328	-0.1951
OI2h	-81.0	-11.25	1	0.1534	-0.9687	-0.1951
Fp2h	81.0	0.0	1	0.1564	0.9877	0.0
Fp2	72.0	0.0	1	0.309	0.9511	0.0
AFp8	63.0	0.0	1	0.454	0.891	0.0
AF8	54.0	0.0	1	0.5878	0.809	0.0
AFF8	45.0	0.0	1	0.7071	0.7071	0.0
F8	36.0	0.0	1	0.809	0.5878	0.0
FFT8	27.0	0.0	1	0.891	0.454	0.0
FT8	18.0	0.0	1	0.9511	0.309	0.0
FTT8	9.0	0.0	1	0.9877	0.1564	0.0
T8	0.0	0.0	1	1.0	0.0	0.0
TTP8	-9.0	0.0	1	0.9877	-0.1564	0.0
TP8	-18.0	0.0	1	0.9511	-0.309	0.0
TPP8	-27.0	0.0	1	0.891	-0.454	0.0
P8	-36.0	0.0	1	0.809	-0.5878	0.0
PPO8	-45.0	0.0	1	0.7071	-0.7071	0.0
PO8	-54.0	0.0	1	0.5878	-0.809	0.0
POO8	-63.0	0.0	1	0.454	-0.891	0.0
O2	-72.0	0.0	1	0.309	-0.9511	0.0
O2h	-81.0	0.0	1	0.1564	-0.9877	0.0
T7h	180.0	11.25	1	-0.9808	0.0	0.1951
C5	180.0	22.5	1	-0.9239	0.0	0.3827
C5h	180.0	33.75	1	-0.8315	0.0	0.5556
C3	180.0	45.0	1	-0.7071	0.0	0.7071
C3h	180.0	56.25	1	-0.5556	0.0	0.8315
C1	180.0	67.5	1	-0.3827	0.0	0.9239
C1h	180.0	78.75	1	-0.1951	0.0	0.9808
T8h	0.0	11.25	1	0.9808	0.0	0.1951
C6	0.0	22.5	1	0.9239	0.0	0.3827
C6h	0.0	33.75	1	0.8315	0.0	0.5556
C4	0.0	45.0	1	0.7071	0.0	0.7071
C4h	0.0	56.25	1	0.5556	0.0	0.8315
C2	0.0	67.5	1	0.3827	0.0	0.9239
C2h	0.0	78.75	1	0.1951	0.0	0.9808
F3	129.254	29.833	1	-0.5489	0.6717	0.4975
F4	50.746	29.833	1	0.5489	0.6717	0.4975
P3	-129.254	29.833	1	-0.5489	-0.6717	0.4975
P4	-50.746	29.833	1	0.5489	-0.6717	0.4975
F5	138.891	15.619	1	-0.7256	0.6332	0.2692
F6	41.109	15.619	1	0.7256	0.6332	0.2692
P5	-138.891	15.619	1	-0.7256	-0.6332	0.2692
P6	-41.109	15.619	1	0.7256	-0.6332	0.2692
F1	112.953	40.722	1	-0.2956	0.6979	0.6524
F2	67.047	40.722	1	0.2956	0.6979	0.6524
P1	-112.953	40.722	1	-0.2956	-0.6979	0.6524
P2	-67.047	40.722	1	0.2956	-0.6979	0.6524
F7h	141.913	7.907	1	-0.7796	0.611	0.1376
F8h	38.087	7.907	1	0.7796	0.611	0.1376
P7h	-141.913	7.907	1	-0.7796	-0.611	0.1376
P8h	-38.087	7.907	1	0.7796	-0.611	0.1376
F5h	134.752	22.998	1	-0.6481	0.6537	0.3907
F6h	45.248	22.998	1	0.6481	0.6537	0.3907
P5h	-134.752	22.998	1	-0.6481	-0.6537	0.3907
P6h	-45.248	22.998	1	0.6481	-0.6537	0.3907
F3h	122.046	35.889	1	-0.4299	0.6867	0.5862
F4h	57.954	35.889	1	0.4299	0.6867	0.5862
P3h	-122.046	35.889	1	-0.4299	-0.6867	0.5862
P4h	-57.954	35.889	1	0.4299	-0.6867	0.5862
F1h	102.055	43.89	1	-0.1505	0.7048	0.6933
F2h	77.945	43.89	1	0.1505	0.7048	0.6933
P1h	-102.055	43.89	1	-0.1505	-0.7048	0.6933
P2h	-77.945	43.89	1	0.1505	-0.7048	0.6933
FC3	151.481	40.847	1	-0.6647	0.3612	0.654
FC4	28.519	40.847	1	0.6647	0.3612	0.654
CP3	-151.481	40.847	1	-0.6647	-0.3612	0.654
CP4	-28.519	40.847	1	0.6647	-0.3612	0.654
FC5	158.854	20.773	1	-0.872	0.3373	0.3547
FC6	21.146	20.773	1	0.872	0.3373	0.3547
CP5	-158.854	20.773	1	-0.872	-0.3373	0.3547
CP6	-21.146	20.773	1	0.872	-0.3373	0.3547
FC1	133.587	58.627	1	-0.3589	0.3771	0.8538
FC2	46.413	58.627	1	0.3589	0.3771	0.8538
CP1	-133.587	58.627	1	-0.3589	-0.3771	0.8538
CP2	-46.413	58.627	1	0.3589	-0.3771	0.8538
FT7h	160.798	10.433	1	-0.9288	0.3235	0.1811
FT8h	19.202	10.433	1	0.9288	0.3235	0.1811
TP7h	-160.798	10.433	1	-0.9288	-0.3235	0.1811
TP8h	-19.202	10.433	1	0.9288	-0.3235	0.1811
FC5h	155.912	30.952	1	-0.7829	0.35	0.5143
FC6h	24.088	30.952	1	0.7829	0.35	0.5143
CP5h	-155.912	30.952	1	-0.7829	-0.35	0.5143
CP6h	-24.088	30.952	1	0.7829	-0.35	0.5143
FC3h	144.625	50.235	1	-0.5215	0.3703	0.7687
FC4h	35.375	50.235	1	0.5215	0.3703	0.7687
CP3h	-144.625	50.235	1	-0.5215	-0.3703	0.7687
CP4h	-35.375	50.235	1	0.5215	-0.3703	0.7687
FC1h	115.626	64.984	1	-0.1829	0.3813	0.9062
FC2h	64.374	64.984	1	0.1829	0.3813	0.9062
CP1h	-115.626	64.984	1	-0.1829	-0.3813	0.9062
CP2h	-64.374	64.984	1	0.1829	-0.3813	0.9062
AF3	113.312	15.04	1	-0.3822	0.8869	0.2595
AF4	66.688	15.04	1	0.3822	0.8869	0.2595
PO3	-113.312	15.04	1	-0.3822	-0.8869	0.2595
PO4	-66.688	15.04	1	0.3822	-0.8869	0.2595
AF5	120.854	7.908	1	-0.508	0.8503	0.1376
AF6	59.146	7.908	1	0.508	0.8503	0.1376
PO5	-120.854	7.908	1	-0.508	-0.8503	0.1376
PO6	-59.146	7.908	1	0.508	-0.8503	0.1376
AF1	102.721	20.458	1	-0.2063	0.9139	0.3495
AF2	77.279	20.458	1	0.2063	0.9139	0.3495
PO1	-102.721	20.458	1	-0.2063	-0.9139	0.3495
PO2	-77.279	20.458	1	0.2063	-0.9139	0.3495
AF7h	123.694	4.005	1	-0.5534	0.83	0.0698
AF8h	56.306	4.005	1	0.5534	0.83	0.0698
PO7h	-123.694	4.005	1	-0.5534	-0.83	0.0698
PO8h	-56.306	4.005	1	0.5534	-0.83	0.0698
AF5h	117.408	11.63	1	-0.4509	0.8695	0.2016
AF6h	62.592	11.63	1	0.4509	0.8695	0.2016
PO5h	-117.408	11.63	1	-0.4509	-0.8695	0.2016
PO6h	-62.592	11.63	1	0.4509	-0.8695	0.2016
AF3h	108.359	18.087	1	-0.2994	0.9022	0.3105
AF4h	71.641	18.087	1	0.2994	0.9022	0.3105
PO3h	-108.359	18.087	1	-0.2994	-0.9022	0.3105
PO4h	-71.641	18.087	1	0.2994	-0.9022	0.3105
AF1h	96.517	21.977	1	-0.1052	0.9213	0.3742
AF2h	83.483	21.977	1	0.1052	0.9213	0.3742
PO1h	-96.517	21.977	1	-0.1052	-0.9213	0.3742
PO2h	-83.483	21.977	1	0.1052	-0.9213	0.3742
AFp3	106.794	7.311	1	-0.2866	0.9496	0.1273
AFp4	73.206	7.311	1	0.2866	0.9496	0.1273
POO3	-106.794	7.311	1	-0.2866	-0.9496	0.1273
POO4	-73.206	7.311	1	0.2866	-0.9496	0.1273
AFp5	112.551	3.8	1	-0.3827	0.9215	0.0663
AFp6	67.449	3.8	1	0.3827	0.9215	0.0663
POO5	-112.551	3.8	1	-0.3827	-0.9215	0.0663
POO6	-67.449	3.8	1	0.3827	-0.9215	0.0663
AFp1	99.082	10.141	1	-0.1554	0.972	0.1761
AFp2	80.918	10.141	1	0.1554	0.972	0.1761
POO1	-99.082	10.141	1	-0.1554	-0.972	0.1761
POO2	-80.918	10.141	1	0.1554	-0.972	0.1761
AFF3	120.67	22.7	1	-0.4706	0.7935	0.3859
AFF4	59.33	22.7	1	0.4706	0.7935	0.3859
PPO3	-120.67	22.7	1	-0.4706	-0.7935	0.3859
PPO4	-59.33	22.7	1	0.4706	-0.7935	0.3859
AFF5	129.623	11.966	1	-0.6239	0.7535	0.2073
AFF6	50.377	11.966	1	0.6239	0.7535	0.2073
PPO5	-129.623	11.966	1	-0.6239	-0.7535	0.2073
PPO6	-50.377	11.966	1	0.6239	-0.7535	0.2073
AFF1	107.147	30.72	1	-0.2535	0.8215	0.5108
AFF2	72.853	30.72	1	0.2535	0.8215	0.5108
PPO1	-107.147	30.72	1	-0.2535	-0.8215	0.5108
PPO2	-72.853	30.72	1	0.2535	-0.8215	0.5108
AFF7h	132.702	6.068	1	-0.6744	0.7308	0.1057
AFF8h	47.298	6.068	1	0.6744	0.7308	0.1057
PPO7h	-132.702	6.068	1	-0.6744	-0.7308	0.1057
PPO8h	-47.298	6.068	1	0.6744	-0.7308	0.1057
AFF5h	125.648	17.573	1	-0.5556	0.7747	0.3019
AFF6h	54.352	17.573	1	0.5556	0.7747	0.3019
PPO5h	-125.648	17.573	1	-0.5556	-0.7747	0.3019
PPO6h	-54.352	17.573	1	0.5556	-0.7747	0.3019
AFF3h	114.474	27.207	1	-0.3684	0.8095	0.4572
AFF4h	65.526	27.207	1	0.3684	0.8095	0.4572
PPO3h	-114.474	27.207	1	-0.3684	-0.8095	0.4572
PPO4h	-65.526	27.207	1	0.3684	-0.8095	0.4572
AFF1h	98.854	32.973	1	-0.1291	0.8289	0.5442
AFF2h	81.146	32.973	1	0.1291	0.8289	0.5442
PPO1h	-98.854	32.973	1	-0.1291	-0.8289	0.5442
PPO2h	-81.146	32.973	1	0.1291	-0.8289	0.5442
FFC3	139.449	36.019	1	-0.6146	0.5258	0.5881
FFC4	40.551	36.019	1	0.6146	0.5258	0.5881
CPP3	-139.449	36.019	1	-0.6146	-0.5258	0.5881
CPP4	-40.551	36.019	1	0.6146	-0.5258	0.5881
FFC5	148.658	18.605	1	-0.8094	0.493	0.319
FFC6	31.342	18.605	1	0.8094	0.493	0.319
CPP5	-148.658	18.605	1	-0.8094	-0.493	0.319
CPP6	-31.342	18.605	1	0.8094	-0.493	0.319
FFC1	121.162	50.192	1	-0.3313	0.5478	0.7682
FFC2	58.838	50.192	1	0.3313	0.5478	0.7682
CPP1	-121.162	50.192	1	-0.3313	-0.5478	0.7682
CPP2	-58.838	50.192	1	0.3313	-0.5478	0.7682
FFT7h	151.293	9.383	1	-0.8653	0.4739	0.163
FFT8h	28.707	9.383	1	0.8653	0.4739	0.163
TPP7h	-151.293	9.383	1	-0.8653	-0.4739	0.163
TPP8h	-28.707	9.383	1	0.8653	-0.4739	0.163
FFC5h	144.847	27.547	1	-0.7249	0.5105	0.4625
FFC6h	35.153	27.547	1	0.7249	0.5105	0.4625
CPP5h	-144.847	27.547	1	-0.7249	-0.5105	0.4625
CPP6h	-35.153	27.547	1	0.7249	-0.5105	0.4625
FFC3h	131.815	43.741	1	-0.4817	0.5385	0.6914
FFC4h	48.185	43.741	1	0.4817	0.5385	0.6914
CPP3h	-131.815	43.741	1	-0.4817	-0.5385	0.6914
CPP4h	-48.185	43.741	1	0.4817	-0.5385	0.6914
FFC1h	106.951	54.636	1	-0.1687	0.5536	0.8155
FFC2h	73.049	54.636	1	0.1687	0.5536	0.8155
CPP1h	-106.951	54.636	1	-0.1687	-0.5536	0.8155
CPP2h	-73.049	54.636	1	0.1687	-0.5536	0.8155
FCC3	165.214	43.935	1	-0.6963	0.1838	0.6938
FCC4	14.786	43.935	1	0.6963	0.1838	0.6938
CCP3	-165.214	43.935	1	-0.6963	-0.1838	0.6938
CCP4	-14.786	43.935	1	0.6963	-0.1838	0.6938
FCC5	169.351	22.07	1	-0.9108	0.1712	0.3757
FCC6	10.649	22.07	1	0.9108	0.1712	0.3757
CCP5	-169.351	22.07	1	-0.9108	-0.1712	0.3757
CCP6	-10.649	22.07	1	0.9108	-0.1712	0.3757
FCC1	152.968	64.99	1	-0.3766	0.1922	0.9062
FCC2	27.032	64.99	1	0.3766	0.1922	0.9062
CCP1	-152.968	64.99	1	-0.3766	-0.1922	0.9062
CCP2	-27.032	64.99	1	0.3766	-0.1922	0.9062
FTT7h	170.382	11.048	1	-0.9677	0.164	0.1916
FTT8h	9.618	11.048	1	0.9677	0.164	0.1916
TTP7h	-170.382	11.048	1	-0.9677	-0.164	0.1916
TTP8h	-9.618	11.048	1	0.9677	-0.164	0.1916
FCC5h	167.745	33.045	1	-0.8191	0.1779	0.5453
FCC6h	12.255	33.045	1	0.8191	0.1779	0.5453
CCP5h	-167.745	33.045	1	-0.8191	-0.1779	0.5453
CCP6h	-12.255	33.045	1	0.8191	-0.1779	0.5453
FCC3h	160.973	54.657	1	-0.5469	0.1886	0.8157
FCC4h	19.027	54.657	1	0.5469	0.1886	0.8157
CCP3h	-160.973	54.657	1	-0.5469	-0.1886	0.8157
CCP4h	-19.027	54.657	1	0.5469	-0.1886	0.8157
FCC1h	134.645	74.147	1	-0.192	0.1943	0.962
FCC2h	45.355	74.147	1	0.192	0.1943	0.962
CCP1h	-134.645	74.147	1	-0.192	-0.1943	0.962
CCP2h	-45.355	74.147	1	0.192	-0.1943	0.962
A1	180.0	-22.5	1	-0.9239	0.0	-0.3827
A2	0.0	-22.5	1	0.9239	0.0	-0.3827
LPA	180.0	-22.5	1	-0.9239	0.0	-0.3827
RPA	0.0	-22.5	1	0.9239	0.0	-0.3827
LM	-162.0	-22.5	1	-0.8787	-0.2855	-0.3827
RM	-18.0	-22.5	1	0.8787	-0.2855	-0.3827
1	36.0	-22.0	1	0.7501	0.545	-0.3746
2	47.0	-6.0	1	0.6783	0.7273	-0.1045
3	56.0	10.0	1	0.5507	0.8164	0.1736
4	72.0	26.0	1	0.2777	0.8548	0.4384
5	78.0	42.0	1	0.1545	0.7269	0.6691
6	90.0	58.0	1	0.0	0.5299	0.848
7	126.0	74.0	1	-0.162	0.223	0.9613
8	54.0	-22.0	1	0.545	0.7501	-0.3746
9	64.0	-6.0	1	0.436	0.8939	-0.1045
10	73.0	10.0	1	0.2879	0.9418	0.1736
11	90.0	26.0	1	0.0	0.8988	0.4384
12	102.0	42.0	1	-0.1545	0.7269	0.6691
13	126.0	58.0	1	-0.3115	0.4287	0.848
14	72.0	-22.0	1	0.2865	0.8818	-0.3746
15	81.0	-6.0	1	0.1556	0.9823	-0.1045
16	90.0	10.0	1	0.0	0.9848	0.1736
17	90.0	-33.75	1	0.0	0.8315	-0.5556
18	99.0	-6.0	1	-0.1556	0.9823	-0.1045
19	108.0	10.0	1	-0.3043	0.9366	0.1736
20	108.0	26.0	1	-0.2777	0.8548	0.4384
21	126.0	42.0	1	-0.4368	0.6012	0.6691
22	108.0	-22.0	1	-0.2865	0.8818	-0.3746
23	116.0	-6.0	1	-0.436	0.8939	-0.1045
24	126.0	10.0	1	-0.5789	0.7967	0.1736
25	126.0	26.0	1	-0.5283	0.7271	0.4384
26	126.0	-22.0	1	-0.545	0.7501	-0.3746
27	133.0	-6.0	1	-0.6783	0.7273	-0.1045
28	142.0	10.0	1	-0.776	0.6063	0.1736
29	144.0	26.0	1	-0.7271	0.5283	0.4384
30	150.0	42.0	1	-0.6436	0.3716	0.6691
31	162.0	58.0	1	-0.504	0.1638	0.848
32	-162.0	74.0	1	-0.2621	-0.0852	0.9613
33	144.0	-22.0	1	-0.7501	0.545	-0.3746
34	150.0	-6.0	1	-0.8613	0.4973	-0.1045
35	159.0	10.0	1	-0.9194	0.3529	0.1736
36	162.0	26.0	1	-0.8548	0.2777	0.4384
37	174.0	42.0	1	-0.7391	0.0777	0.6691
38	-162.0	58.0	1	-0.504	-0.1638	0.848
39	162.0	-22.0	1	-0.8818	0.2865	-0.3746
40	167.0	-6.0	1	-0.969	0.2237	-0.1045
41	176.0	10.0	1	-0.9824	0.0687	0.1736
42	180.0	26.0	1	-0.8988	0.0	0.4384
43	-162.0	42.0	1	-0.7068	-0.2296	0.6691
44	150.0	-38.0	1	-0.6824	0.394	-0.6157
45	180.0	-22.0	1	-0.9272	0.0	-0.3746
46	-176.0	-6.0	1	-0.9921	-0.0694	-0.1045
47	-167.0	10.0	1	-0.9596	-0.2215	0.1736
48	-162.0	26.0	1	-0.8548	-0.2777	0.4384
49	170.0	-38.0	1	-0.776	0.1368	-0.6157
50	-159.0	-6.0	1	-0.9285	-0.3564	-0.1045
51	-150.0	10.0	1	-0.8529	-0.4924	0.1736
52	-144.0	26.0	1	-0.7271	-0.5283	0.4384
53	-138.0	42.0	1	-0.5523	-0.4973	0.6691
54	-126.0	58.0	1	-0.3115	-0.4287	0.848
55	-90.0	74.0	1	0.0	-0.2756	0.9613
56	-170.0	-38.0	1	-0.776	-0.1368	-0.6157
57	-157.0	-22.0	1	-0.8535	-0.3623	-0.3746
58	-142.0	-6.0	1	-0.7837	-0.6123	-0.1045
59	-133.0	10.0	1	-0.6716	-0.7202	0.1736
60	-126.0	26.0	1	-0.5283	-0.7271	0.4384
61	-114.0	42.0	1	-0.3023	-0.6789	0.6691
62	-90.0	58.0	1	0.0	-0.5299	0.848
63	-150.0	-38.0	1	-0.6824	-0.394	-0.6157
64	-139.0	-22.0	1	-0.6998	-0.6083	-0.3746
65	-125.0	-6.0	1	-0.5704	-0.8147	-0.1045
66	-116.0	10.0	1	-0.4317	-0.8851	0.1736
67	-108.0	26.0	1	-0.2777	-0.8548	0.4384
68	-90.0	42.0	1	0.0	-0.7431	0.6691
69	-130.0	-38.0	1	-0.5065	-0.6037	-0.6157
70	-122.0	-22.0	1	-0.4913	-0.7863	-0.3746
71	-108.0	-6.0	1	-0.3073	-0.9458	-0.1045
72	-99.0	10.0	1	-0.1541	-0.9727	0.1736
73	-90.0	26.0	1	0.0	-0.8988	0.4384
74	-110.0	-38.0	1	-0.2695	-0.7405	-0.6157
75	-100.0	-22.0	1	-0.161	-0.9131	-0.3746
76	-90.0	-6.0	1	0.0	-0.9945	-0.1045
77	-81.0	10.0	1	0.1541	-0.9727	0.1736
78	-72.0	26.0	1	0.2777	-0.8548	0.4384
79	-66.0	42.0	1	0.3023	-0.6789	0.6691
80	-54.0	58.0	1	0.3115	-0.4287	0.848
81	-18.0	74.0	1	0.2621	-0.0852	0.9613
82	-90.0	-38.0	1	0.0	-0.788	-0.6157
83	-80.0	-22.0	1	0.161	-0.9131	-0.3746
84	-72.0	-6.0	1	0.3073	-0.9458	-0.1045
85	-64.0	10.0	1	0.4317	-0.8851	0.1736
86	-54.0	26.0	1	0.5283	-0.7271	0.4384
87	-42.0	42.0	1	0.5523	-0.4973	0.6691
88	-18.0	58.0	1	0.504	-0.1638	0.848
89	-70.0	-38.0	1	0.2695	-0.7405	-0.6157
90	-59.0	-22.0	1	0.4775	-0.7948	-0.3746
91	-55.0	-6.0	1	0.5704	-0.8147	-0.1045
92	-47.0	10.0	1	0.6716	-0.7202	0.1736
93	-36.0	26.0	1	0.7271	-0.5283	0.4384
94	-18.0	42.0	1	0.7068	-0.2296	0.6691
95	-50.0	-38.0	1	0.5065	-0.6037	-0.6157
96	-41.0	-22.0	1	0.6998	-0.6083	-0.3746
97	-38.0	-6.0	1	0.7837	-0.6123	-0.1045
98	-30.0	10.0	1	0.8529	-0.4924	0.1736
99	-18.0	26.0	1	0.8548	-0.2777	0.4384
100	-30.0	-38.0	1	0.6824	-0.394	-0.6157
101	-23.0	-22.0	1	0.8535	-0.3623	-0.3746
102	-21.0	-6.0	1	0.9285	-0.3564	-0.1045
103	-13.0	10.0	1	0.9596	-0.2215	0.1736
104	0.0	26.0	1	0.8988	0.0	0.4384
105	6.0	42.0	1	0.7391	0.0777	0.6691
106	18.0	58.0	1	0.504	0.1638	0.848
107	54.0	74.0	1	0.162	0.223	0.9613
108	-10.0	-38.0	1	0.776	-0.1368	-0.6157
109	-4.0	-6.0	1	0.9921	-0.0694	-0.1045
110	4.0	10.0	1	0.9824	0.0687	0.1736
111	18.0	26.0	1	0.8548	0.2777	0.4384
112	30.0	42.0	1	0.6436	0.3716	0.6691
113	54.0	58.0	1	0.3115	0.4287	0.848
114	10.0	-38.0	1	0.776	0.1368	-0.6157
115	0.0	-22.0	1	0.9272	0.0	-0.3746
116	13.0	-6.0	1	0.969	0.2237	-0.1045
117	21.0	10.0	1	0.9194	0.3529	0.1736
118	36.0	26.0	1	0.7271	0.5283	0.4384
119	54.0	42.0	1	0.4368	0.6012	0.6691
120	30.0	-38.0	1	0.6824	0.394	-0.6157
121	18.0	-22.0	1	0.8818	0.2865	-0.3746
122	30.0	-6.0	1	0.8613	0.4973	-0.1045
